Data;Ora;Temp.Systema[°C];Temp.Sauna[°C];Umid.Sauna[%Rh];Temp.Esterna[°C];Umid.Esterna[%Rh];Pres.Esterna[hpa];Altitudine[m];CO-Sauna[ppm];CO-Sauna[raw];Pos.Valvola[°];Cicli[ms]
16/12/2020;17:06:51;53.33;6.25;35.76;5.77;37.12;890.27;182.03;286.30;286.30;0;289.00
16/12/2020;17:07:03;53.33;6.98;40.60;6.44;41.04;989.18;202.38;315.50;315.50;0;123.40
16/12/2020;17:07:15;53.33;7.02;40.96;6.46;40.93;989.18;202.34;274.50;274.50;0;125.10
16/12/2020;17:07:27;53.33;7.04;41.04;6.47;41.22;989.17;202.40;254.20;254.20;0;120.40
16/12/2020;17:07:38;53.33;7.08;42.59;6.48;41.38;989.17;202.45;240.40;240.40;0;119.80
16/12/2020;17:07:50;53.33;7.11;43.10;6.49;41.85;989.18;202.33;230.20;230.20;0;120.30
16/12/2020;17:08:02;53.33;7.11;44.89;6.50;42.30;989.18;202.37;221.90;221.90;0;125.00
16/12/2020;17:08:14;53.33;7.12;44.56;6.51;42.63;989.17;202.42;214.70;214.70;0;122.10
16/12/2020;17:08:26;53.33;7.12;43.65;6.52;42.55;989.18;202.34;207.50;207.50;0;121.70
16/12/2020;17:08:38;53.33;7.12;43.71;6.52;42.58;989.17;202.46;202.60;202.60;0;119.80
16/12/2020;17:08:50;53.33;7.12;45.88;6.53;42.83;989.19;202.29;197.60;197.60;0;123.40
16/12/2020;17:09:01;53.33;7.13;48.71;6.53;44.53;989.19;202.28;192.40;192.40;0;123.70
16/12/2020;17:09:13;53.33;7.15;48.59;6.54;46.43;989.19;202.30;188.80;188.80;0;120.50
16/12/2020;17:09:25;53.33;7.15;48.12;6.54;47.82;989.20;202.20;186.20;186.20;0;119.90
16/12/2020;17:09:37;53.33;7.17;48.35;6.54;46.82;989.19;202.24;182.80;182.80;0;121.60
16/12/2020;17:09:48;53.33;7.20;49.58;6.56;46.12;989.21;202.08;180.20;180.20;0;125.20
16/12/2020;17:10:00;53.33;7.22;50.05;6.56;46.13;989.21;202.11;178.10;178.10;0;122.00
16/12/2020;17:10:12;53.33;7.23;48.41;6.57;46.04;989.22;202.02;176.20;176.20;0;119.90
16/12/2020;17:10:24;53.33;7.24;47.38;6.57;46.66;989.23;201.91;174.40;174.40;0;119.90
16/12/2020;17:10:36;53.33;7.26;47.71;6.58;47.53;989.23;201.87;172.30;172.30;0;124.90
16/12/2020;17:10:47;53.33;7.31;50.85;6.58;48.65;989.24;201.87;170.80;170.80;0;122.10
16/12/2020;17:10:59;53.33;7.34;50.33;6.59;48.52;989.24;201.84;169.50;169.50;0;120.00
16/12/2020;17:11:11;53.33;7.37;49.98;6.59;47.65;989.25;201.80;168.50;168.50;0;120.00
16/12/2020;17:11:22;53.33;7.40;50.93;6.60;47.22;989.24;201.84;167.50;167.50;0;124.80
16/12/2020;17:11:34;53.33;7.42;50.98;6.61;47.26;989.25;201.80;166.30;166.30;0;123.70
16/12/2020;17:11:46;53.33;7.44;50.74;6.62;49.21;989.25;201.72;165.70;165.70;0;120.30
16/12/2020;17:11:58;53.33;7.44;50.72;6.63;50.21;989.26;201.68;165.30;165.30;0;119.80
16/12/2020;17:12:10;53.33;7.45;50.10;6.66;50.26;989.25;201.78;164.20;164.20;0;121.90
16/12/2020;17:12:21;53.33;7.45;49.95;6.66;49.39;989.26;201.65;164.40;164.40;0;125.10
16/12/2020;17:12:33;53.33;7.46;49.89;6.67;49.66;989.25;201.79;163.60;163.60;0;120.30
16/12/2020;17:12:45;53.33;7.46;49.26;6.67;49.95;989.26;201.65;162.60;162.60;0;120.00
16/12/2020;17:12:56;53.33;7.47;49.22;6.68;51.62;989.28;201.53;161.00;161.00;0;121.70
16/12/2020;17:13:08;53.33;7.46;49.28;6.69;52.87;989.27;201.59;160.40;160.40;0;125.10
16/12/2020;17:13:20;53.33;7.47;48.89;6.69;52.86;989.26;201.69;158.90;158.90;0;120.50
16/12/2020;17:13:31;53.33;7.48;49.81;6.70;53.01;989.26;201.65;158.40;158.40;0;120.00
16/12/2020;17:13:43;53.33;7.49;50.63;6.70;54.77;989.27;201.60;157.40;157.40;0;119.70
16/12/2020;17:13:55;53.33;7.49;50.71;6.70;54.41;989.27;201.58;156.30;156.30;0;124.80
16/12/2020;17:14:07;53.33;7.51;50.86;6.71;53.55;989.26;201.65;155.30;155.30;0;122.10
16/12/2020;17:14:18;53.33;7.52;50.44;6.71;53.02;989.27;201.60;154.30;154.30;0;120.20
16/12/2020;17:14:30;53.33;7.53;50.00;6.71;52.87;989.27;201.63;153.80;153.80;0;121.40
16/12/2020;17:14:42;53.33;7.55;50.16;6.72;52.72;989.28;201.55;153.50;153.50;0;123.30
16/12/2020;17:14:54;53.33;7.57;50.08;6.72;52.40;989.27;201.63;152.60;152.60;0;123.60
16/12/2020;17:15:06;53.33;7.59;49.73;6.72;51.70;989.26;201.69;151.70;151.70;0;120.40
16/12/2020;17:15:18;53.33;7.62;49.84;6.73;51.85;989.28;201.53;151.90;151.90;0;119.80
16/12/2020;17:15:30;53.33;7.65;49.86;6.73;52.54;989.27;201.58;150.70;150.70;0;121.50
16/12/2020;17:15:41;53.33;7.68;49.35;6.73;52.87;989.27;201.56;150.70;150.70;0;125.00
16/12/2020;17:15:53;53.33;7.72;49.55;6.73;51.91;989.26;201.71;150.40;150.40;0;120.50
16/12/2020;17:16:05;53.33;7.78;49.48;6.73;51.45;989.27;201.64;150.20;150.20;0;119.70
16/12/2020;17:16:17;53.33;7.83;49.22;6.74;51.44;989.26;201.63;149.80;149.80;0;119.90
16/12/2020;17:16:28;53.33;7.87;48.99;6.74;53.09;989.27;201.58;149.70;149.70;0;124.80
